Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Jason Behrendorff,RCB,https://sports.ndtv.com/cricket/players/1663-jason-behrendorff-playerprofile,Bowler ,0.75,Jason Paul Behrendorff,"April 20, 1990 Camden, New South Wales","31 Years, 10 Months, 25 Days",Australia,Right Handed,Left-arm fast medium,T20 International,9,1,0,5,5 v WI,0,0,0,0,5.00,71.42,6,0,0,0,8,22,0,187,7,4/21 v IND,0,0,26.71,8.50,18.85,8
Siddarth Kaul,RCB,https://sports.ndtv.com/cricket/players/1699-siddarth-kaul-playerprofile,Bowler ,0.75,Siddarth Kaul,"May 19, 1990 Pathankot, Punjab","31 Years, 9 Months, 27 Days",India,Right Handed,Right-arm medium,T20 International,3,0,0,,,0,0,0,0,,0.00,,,0,0,3,9.4,0,84,4,2/35 v ENG,0,0,21.00,8.68,14.50,3
Karn Sharma,RCB,https://sports.ndtv.com/cricket/players/1245-karan-sharma-playerprofile,Bowler ,0.50,Karn Vinod Sharma,"October 23, 1987 Meerut, Uttar Pradesh","34 Years, 4 Months, 24 Days",India,Left Handed,Leg break googly,T20 International,1,0,0,,,0,0,0,0,,0.00,,,0,0,1,4,0,28,1,1/28 v ENG,0,0,28.00,7.00,24.00,1
Suyash Prabhudessai,RCB,https://sports.ndtv.com/cricket/players/110587-suyash-prabhudessai-playerprofile,All-Rounder ,0.30,Suyash S Prabhudessai,"December 6, 1997 ","24 Years, 3 Months, 9 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chama Milind,RCB,https://sports.ndtv.com/cricket/players/64116-chama-v-milind-playerprofile,Bowler ,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aneeshwar Gautam,RCB,https://sports.ndtv.com/cricket/players/114974-aneeshwar-gautam-playerprofile,All-Rounder ,0.20,Aneeshwar Gautam Narendra,"January 16, 2003 Bengaluru, Karnataka","19 Years, 2 Months, -1 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akash Deep,RCB,https://sports.ndtv.com/cricket/players/113443-akash-deep-playerprofile,Bowler ,0.20,Akash Deep,"December 15, 1996 Dehri, (Rotas), Bihar","25 Years, 3 Months, 0 Days",India,Right Handed,Right-arm medium,T20 Domestic,12,3,0,2,2 v TMC,0,0,0,0,0.66,25.00,1,0,2,0,12,38.5,1,279,10,2/15 v TMC,0,0,27.90,7.18,23.30,12
Luvnith Sisodia,RCB,https://sports.ndtv.com/cricket/players/115304-luvnith-sisodia-playerprofile,Wicket-Keeper ,0.20,Luvnith Sujith Sisodia,"January 15, 2000 Bangalore, Karnataka","22 Years, 2 Months, 1 Days",India,Left Handed,Left-arm medium,,9,9,0,124,29 v BP,0,0,14,4,13.77,112.72,11,1,1,0,,,,,,,,,,,,
Rohit Sharma,MI,https://sports.ndtv.com/cricket/players/857-rohit-sharma-playerprofile,Batsman ,16.00,Rohit Gurunath Sharma,"April 30, 1987 Bansod, Nagpur, Maharashtra","34 Years, 10 Months, 16 Days",India,Right Handed,Off break,T20 International,125,117,15,3313,118 v SL,4,26,293,155,32.48,139.55,50,0,8,5,9,11.2,0,113,1,1/22 v SL,0,0,113.00,9.97,68.00,9
Ishan Kishan,MI,https://sports.ndtv.com/cricket/players/107047-ishan-kishan-playerprofile,Wicket-Keeper ,15.25,Ishan Pranav Kumar Pandey Kishan,"July 18, 1998 Patna, Bihar","23 Years, 7 Months, 28 Days",India,Left Handed,Left-arm medium,,10,10,1,289,89 v SL,0,2,34,8,32.11,121.42,4,2,0,0,,,,,,,,,,,,
Jasprit Bumrah,MI,https://sports.ndtv.com/cricket/players/1724-jasprit-bumrah-playerprofile,Bowler ,12.00,Jasprit Jasbirsingh Bumrah,"December 6, 1993 Ahmedabad","28 Years, 3 Months, 9 Days",India,Right Handed,Right-arm fast,T20 International,57,6,4,8,7 v AUS,0,0,1,0,4.00,61.53,7,0,4,2,56,204.5,8,1333,67,3/11 v ZIM,5,0,19.89,6.50,18.34,56
Tim David,MI,https://sports.ndtv.com/cricket/players/111686-tim-david-playerprofile,All-Rounder ,8.25,Timothy Hays David,"March 16, 1996 ","26 Years, 0 Months, -1 Days",Singapore,Right Handed,Off break,T20 International,14,14,2,558,92* v MAL,0,4,50,26,46.50,158.52,12,0,0,1,11,27.2,0,255,5,1/18 v HK,0,0,51.00,9.32,32.80,11
Jofra Archer,MI,https://sports.ndtv.com/cricket/players/64664-jofra-archer-playerprofile,All-Rounder ,8.00,Jofra Chioke Archer,"April 1, 1995 Bridgetown, Barbados","26 Years, 11 Months, 15 Days",England,Right Handed,Right-arm fast,T20 International,12,2,1,19,18* v IND,0,0,2,1,19.00,190.00,4,0,0,1,12,47,1,371,14,4/33 v IND,1,0,26.50,7.89,20.14,12
Suryakumar Yadav,MI,https://sports.ndtv.com/cricket/players/1492-suryakumar-yadav-playerprofile,Batsman ,8.00,Suryakumar Ashok Yadav,"September 14, 1990 Mumbai, Maharashtra","31 Years, 6 Months, 1 Days",India,Right Handed,Right-arm medium,,14,12,3,351,65 v WI,0,4,32,20,39.00,165.56,13,0,1,0,,,,,,,,,,,,
Kieron Pollard,MI,https://sports.ndtv.com/cricket/players/907-kieron-pollard-playerprofile,All-Rounder ,6.00,Kieron Adrian Pollard,"May 12, 1987 Tacarigua, Trinidad","34 Years, 10 Months, 4 Days",West Indies,Right Handed,Right-arm medium,T20 International,101,83,21,1569,75* v NZ,0,6,94,99,25.30,135.14,42,0,3,0,63,142.4,0,1188,42,4/25 v IRE,2,0,28.28,8.32,20.38,63
Dewald Brevis,MI,https://sports.ndtv.com/cricket/players/115001-dewald-brevis-playerprofile,Batsman ,3.00,Dewald Brevis,"April 29, 2003 Johannesburg","18 Years, 10 Months, 17 Days",South Africa,Right Handed,Leg break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Sams,MI,https://sports.ndtv.com/cricket/players/113155-daniel-sams-playerprofile,All-Rounder ,2.60,Daniel Richard Sams,"October 27, 1992 Milperra, New South Wales","29 Years, 4 Months, 19 Days",Australia,Right Handed,Left-arm fast medium,T20 International,7,5,2,72,41 v NZ,0,0,6,4,24.00,189.47,3,0,0,0,7,20.5,0,210,4,2/40 v NZ,0,0,52.50,10.08,31.25,7
Tilak Varma,MI,https://sports.ndtv.com/cricket/players/112645-tilak-varma-playerprofile,All-Rounder ,1.70,Namboori Thakur Tilak Varma,"November 8, 2002 Hyderabad, Andhra Pradesh","19 Years, 4 Months, 7 Days",India,Left Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murugan Ashwin,MI,https://sports.ndtv.com/cricket/players/63773-murugan-ashwin-playerprofile,Bowler ,1.60,Murugan Ashwin,"September 8, 1990 Chennai, Tamil Nadu","31 Years, 6 Months, 7 Days",India,Right Handed,Leg break googly,T20 Domestic,34,28,9,487,61* v SS,0,1,25,25,25.63,113.78,20,0,1,1,34,127.1,1,915,39,3/24 v SMP,3,0,23.46,7.19,19.56,34
